Steuerung;Kv Factor;Kugelgewindetrieb Durchmesser X;Kugelgewindetrieb Steigung X;Kugelgewindetrieb Durchmesser Y;Kugelgewindetrieb Steigung Y;Kugelgewindetrieb Durchmesser Z;Kugelgewindetrieb Steigung Z;Motor X;Motor Y;Motor Z;Steifigkeit X;Steifigkeit Y;Steifigkeit Z;Werkstück;Werkzeug;Durchmesser;vc;fz
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Rostfreier Stahl;HSS;80;88;0.12
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Rostfreier Stahl;HSS;100;90;0.13
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Rostfreier Stahl;HSS;125;80;0.13
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Temperguss;HSS;40;140;0.08
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Temperguss;HSS;50;143;0.08
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Temperguss;HSS;63;137;0.11
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Temperguss;HSS;80;137;0.13
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Temperguss;HSS;100;147;0.12
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Temperguss;HSS;125;140;0.14
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Superlegierungen;HSS;40;50;0.08
Siemens;2.4;60;15;60;15;60;15;1FT7034-5AK7;1FT7036-5AK7;1FT7042-5AK7;28.08;30.41;29.72;Superlegierungen;HSS;50;50;0.09
